Sample ID,X1,X2,X3,X4,X5,X6,X7,X8,.model_id,.model_desc,.type,mae,mape,mase,smape,rmse,rsq
12,6.74908,4.14138,3.38822,8.65193,0.25778,1.23898,2.38443,1.08196,12,ENSEMBLE,(WEIGHTED):,469,Inf,17.8,33.1,599,0.779
8,3.8,5.9,8.8,7.6,5.5,7.0,1.6,1.8,8,ENSEMBLE,(WEIGHTED):,475,Inf,18,33.3,608,0.786
11,4.2,10.0,4.9,4.7,9.3,8.2,4.5,0.7,11,ENSEMBLE,(WEIGHTED):,478,Inf,18.1,33.3,612,0.781
13,7.2,6.3,9.7,9.3,6.8,6.7,3.9,5.5,13,ENSEMBLE,(WEIGHTED):,478,Inf,18.1,33.3,612,0.786
10,3.1,4.7,2.0,7.5,2.2,4.4,1.2,2.9,10,ENSEMBLE,(WEIGHTED):,479,Inf,18.2,33.4,613,0.783
7,8.4,2.1,7.5,2.0,6.1,1.7,6.9,4.6,7,ENSEMBLE,(WEIGHTED):,480,Inf,18.2,33.4,615,0.785
2,9.4,9.0,3.9,6.6,8.8,5.8,8.0,6.5,2,ENSEMBLE,(WEIGHTED):,482,Inf,18.3,33.5,617,0.781
18,8.0,9.5,2.6,3.0,5.9,3.8,0.3,0.2,18,ENSEMBLE,(WEIGHTED):,482,Inf,18.3,33.7,613,0.761
14,6.1,1.1,5.2,6.2,3.7,0.8,5.1,7.4,14,ENSEMBLE,(WEIGHTED):,487,Inf,18.5,33.7,623,0.786
16,2.1,6.6,1.3,8.4,8.1,0.3,6.4,9.9,16,ENSEMBLE,(WEIGHTED):,487,Inf,18.5,33.7,625,0.785
3,0.7,7.1,8.4,4.1,0.9,4.8,5.7,4.0,3,ENSEMBLE,(WEIGHTED):,489,Inf,18.6,33.8,628,0.782
15,4.6,0.3,0.1,9.7,4.4,2.7,7.2,2.1,15,ENSEMBLE,(WEIGHTED):,490,Inf,18.6,33.8,628,0.786
6,9.8,8.1,0.6,0.0,3.0,2.1,7.9,3.4,6,ENSEMBLE,(WEIGHTED):,492,Inf,18.7,33.9,629,0.76
5,8.8,2.9,9.3,1.6,7.2,7.7,4.5,9.1,5,ENSEMBLE,(WEIGHTED):,493,Inf,18.7,33.9,632,0.784
19,2.6,7.6,2.2,5.7,4.9,9.0,0.7,6.9,19,ENSEMBLE,(WEIGHTED):,494,Inf,18.7,34,633,0.78
17,1.2,3.6,6.3,0.9,7.8,5.3,2.7,5.7,17,ENSEMBLE,(WEIGHTED):,497,Inf,18.9,34.2,637,0.784
20,5.6,1.9,7.3,5.2,1.4,3.1,9.2,8.4,20,ENSEMBLE,(WEIGHTED):,502,Inf,19,34.3,643,0.784
4,5.0,0.8,6.8,1.1,3.4,6.5,3.3,7.6,4,ENSEMBLE,(WEIGHTED):,508,Inf,19.3,34.6,652,0.782
9,1.5,5.0,5.8,3.3,9.6,9.5,9.8,8.8,9,ENSEMBLE,(WEIGHTED):,512,Inf,19.4,34.8,657,0.782
1,0.1,3.2,4.3,3.7,1.6,9.6,8.7,3.8,1,ENSEMBLE,(WEIGHTED):,531,Inf,20.2,35.6,682,0.777
